,name,link
79,Creators: The Past (2019) Hindi Dual Audio HDRip 720p – 480p,https://vegamovies.vg/35124-creators-the-past-2019-hindi-dual-audio-hdrip-720p-480p.html
80,Challengers 2024 CAMRip Hindi 1080p,https://vegamovies.vg/35121-challengers-2024-camrip-hindi-1080p.html
81,Mission : Chapter 1 2024 Hindi HDRip 720p – 480p – 1080p,https://vegamovies.vg/35127-mission-chapter-1-2024-hindi-hdrip-720p-480p-1080p.html
82,Boo Main Dargi 2024 Punjabi HDRip 720p – 480p – 1080p,https://vegamovies.vg/35118-boo-main-dargi-2024-punjabi-pre-dvdrip-720p-480p.html
83,Luv You Shankar 2024 CAMRip Telugu 1080p,https://vegamovies.vg/35112-luv-you-shankar-2024-camrip-telugu-1080p.html
84,Luv You Shankar 2024 CAMRip Hindi 1080p,https://vegamovies.vg/35109-luv-you-shankar-2024-camrip-hindi-1080p.html
85,Sapta Sagaradaache Ello: Side B 2023 Hindi (ORG) HDRip 720p – 480p,https://vegamovies.vg/35139-sapta-sagaradaache-ello-side-b-2023-hindi-studio-dub-hdrip-720p-480p.html
86,Rudhran (2023) [Hindi + Tamil] HDRip 720p – 480p – 1080p,https://vegamovies.vg/35136-rudhran-2023-hindi-tamil-hdrip-720p-480p-1080p.html
87,Appu 2024 Hindi HDTS 720p – 480p – 1080p,https://vegamovies.vg/35115-appu-2024-hindi-hdts-720p-480p-1080p.html
88,Vengeance 2023 Hindi Dual Audio HDRip 1080p – 720p – 480p,https://vegamovies.vg/35142-vengeance-2023-hindi-dual-audio-hdrip-1080p-720p-480p.html
89,Do Aur Do Pyaar 2024 CAMRip Hindi 1080p,https://vegamovies.vg/35106-do-aur-do-pyaar-2024-camrip-hindi-1080p.html
90,"LSD 2: Love, Sex Aur Dhokha 2 2024 CAMRip V2 Hindi 1080p",https://vegamovies.vg/35103-lsd-2-love-sex-aur-dhokha-2-2024-camrip-v2-hindi-1080p.html
91,Siren (2024) [Hindi + Tamil] HDRip 720p – 480p – 1080p,https://vegamovies.vg/35100-siren-2024-hindi-tamil-hdrip-720p-480p-1080p.html
92,Rebel Moon – Part Two: The Scargiver (2024) Hindi Dual Audio HDRip 1080p – 720p – 480p,https://vegamovies.vg/35097-rebel-moon-part-two-the-scargiver-2024-hindi-dual-audio-hdrip-1080p-720p-480p.html
93,Kaam Chalu Hai 2024 Hindi HDRip 720p – 480p – 1080p,https://vegamovies.vg/35094-kaam-chalu-hai-2024-hindi-hdrip-720p-480p-1080p.html
94,Godzilla x Kong: The New Empire 2024 Hindi (Cleaned) Dual Audio HDTC 720p – 480p – 1080p,https://vegamovies.vg/35091-godzilla-x-kong-the-new-empire-2024-hindi-cleaned-dual-audio-hdts-720p-480p.html
95,Article 370 2024 Hindi HDRip 720p – 480p – 1080p,https://vegamovies.vg/35088-article-370-2024-hindi-cleaned-hdts-720p-480p.html
96,All India Rank 2024 Hindi HDRip 720p – 480p – 1080p,https://vegamovies.vg/35085-all-india-rank-2024-hindi-hdts-720p-480p.html
97,"LSD 2: Love, Sex Aur Dhokha 2 2024 CAMRip Hindi 1080p",https://vegamovies.vg/35082-lsd-2-love-sex-aur-dhokha-2-2024-camrip-hindi-1080p.html
98,Top Five (2014) Hindi Dual Audio HDRip 1080p – 720p – 480p,https://vegamovies.vg/35079-top-five-2014-hindi-dual-audio-hdrip-1080p-720p-480p.html
99,The Ministry of Ungentlemanly Warfare 2024 CAMRip Hindi 1080p,https://vegamovies.vg/35076-the-ministry-of-ungentlemanly-warfare-2024-camrip-hindi-1080p.html
100,Woody Woodpecker Goes to Camp (2024) Hindi Dual Audio HDRip 1080p – 720p – 480p,https://vegamovies.vg/35073-woody-woodpecker-goes-to-camp-2024-hindi-dual-audio-hdrip-1080p-720p-480p.html
101,Stolen (2024) Hindi Dual Audio HDRip 1080p – 720p – 480p,https://vegamovies.vg/35070-stolen-2024-hindi-dual-audio-hdrip-1080p-720p-480p.html
102,Oru Yamandan Premakadha (2019) [Hindi + Malayalam] HDRip 720p – 480p – 1080p,https://vegamovies.vg/35067-oru-yamandan-premakadha-2019-hindi-malayalam-hdrip-720p-480p-1080p.html
103,Joshua: Imai Pol Kaka (2024) [Hindi + Tamil] HDRip 720p – 480p – 1080p,https://vegamovies.vg/35064-joshua-imai-pol-kaka-2024-hindi-tamil-hdrip-720p-480p-1080p.html
104,Amar Singh Chamkila (2024) Punjabi HDRip 720p – 480p – 1080p,https://vegamovies.vg/35061-amar-singh-chamkila-2024-punjabi-hdrip-720p-480p-1080p.html
105,Bade Miyan Chote Miyan 2024 CAMRip Tamil 1080p,https://vegamovies.vg/35019-bade-miyan-chote-miyan-2024-camrip-tamil-1080p.html
106,Bade Miyan Chote Miyan 2024 CAMRip Telugu 1080p,https://vegamovies.vg/35016-bade-miyan-chote-miyan-2024-camrip-telugu-1080p.html
107,Bade Miyan Chote Miyan 2024 CAMRip Kannada 1080p,https://vegamovies.vg/35013-bade-miyan-chote-miyan-2024-camrip-kannada-1080p.html
108,Warning 2 2024 Punjabi HDRip 720p – 480p – 1080p,https://vegamovies.vg/35055-warning-2-2024-punjabi-pre-dvdrip-720p-480p.html
109,Family Star 2024 Hindi (Studio-Dub) Dual Audio HDTS 720p – 480p,https://vegamovies.vg/35052-family-star-2024-hindi-studio-dub-dual-audio-hdts-1080p-720p-480p.html
110,Premalu (2024) [Hindi + Malayalam] HDRip 720p – 480p – 1080p,https://vegamovies.vg/35037-premalu-2024-hindi-malayalam-hdrip-720p-480p-1080p.html
111,Maidaan 2024 CAMRip Hindi 1080p,https://vegamovies.vg/35004-maidaan-2024-camrip-hindi-1080p.html
112,Tillu Square 2024 CAMRip Hindi 1080p,https://vegamovies.vg/35001-tillu-square-2024-camrip-hindi-1080p.html
113,Bade Miyan Chote Miyan 2024 CAMRip V2 Hindi 1080p,https://vegamovies.vg/34998-bade-miyan-chote-miyan-2024-camrip-v2-hindi-1080p.html
114,Bade Miyan Chote Miyan 2024 CAMRip Hindi 1080p,https://vegamovies.vg/34995-bade-miyan-chote-miyan-2024-camrip-hindi-1080p.html
115,What Jennifer Did (2024) Dual Audio Hindi HDRip 720p – 480p,https://vegamovies.vg/35058-what-jennifer-did-2024-dual-audio-hindi-hdrip-720p-480p.html
116,Jee Ve Sohneya Jee (2024) Punjabi HDRip 720p – 480p – 1080p,https://vegamovies.vg/35031-jee-ve-sohneya-jee-2024-punjabi-hdrip-720p-480p-1080p.html
117,Civil War (2024) Hindi Dual Audio CAMRip 1080p,https://vegamovies.vg/34992-civil-war-2024-hindi-dual-audio-camrip-1080p.html
118,Space Pups (2023) Hindi Dual Audio HDRip 1080p – 720p – 480p,https://vegamovies.vg/35046-space-pups-2023-hindi-dual-audio-hdrip-1080p-720p-480p.html
119,Download Iravin kangal (2024) Tamil Full Movie CAMRip 1080p,https://vegamovies.vg/34989-download-iravin-kangal-2024-tamil-full-movie-camrip-1080p.html
120,Kung Fu Panda 4 (2024) Hindi (ORG 5.1) Dual Audio Web-DL 720p – 480p – 1080p,https://vegamovies.vg/35034-kung-fu-panda-4-2024-hindi-dual-audio-hdts-720p-480p-1080p.html
121,Iron Kung Fu Fist (2022) Hindi Dual Audio HDRip 1080p – 720p – 480p,https://vegamovies.vg/35028-iron-kung-fu-fist-2022-hindi-dual-audio-hdrip-1080p-720p-480p.html
122,Ancestor in Search of Gold (2020) Hindi Dual Audio HDRip 1080p – 720p – 480p,https://vegamovies.vg/35007-ancestor-in-search-of-gold-2020-hindi-dual-audio-hdrip-1080p-720p-480p.html
123,River God Water Strange Story (2023) Hindi Dual Audio HDRip 1080p – 720p – 480p,https://vegamovies.vg/35040-river-god-water-strange-story-2023-hindi-dual-audio-hdrip-1080p-720p-480p.html
124,Devils 2023 Hindi HDRip 720p – 480p – 1080p,https://vegamovies.vg/35022-devils-2023-hindi-hdrip-720p-480p-1080p.html
125,Dukaan 2024 - Hindi CAM 1080p,https://vegamovies.vg/34983-dukaan-2024-hindi-cam-1080p.html
126,White Rose 2024 - Tamil CAM 1080p,https://vegamovies.vg/34980-white-rose-2024-tamil-cam-1080p.html
127,Oru Thavaru Seidhal 2024 - Tamil CAM 1080p,https://vegamovies.vg/34977-oru-thavaru-seidhal-2024-tamil-cam-1080p.html
128,Double Tuckerr 2024 - Tamil CAM 1080p,https://vegamovies.vg/34974-double-tuckerr-2024-tamil-cam-1080p.html
129,Bharathanatyam 2024 - Telugu CAM 1080p,https://vegamovies.vg/34971-bharathanatyam-2024-telugu-cam-1080p-.html
130,The First Omen 2024 CAMRip English,https://vegamovies.vg/34968-the-first-omen-2024-camrip-english.html
131,Monkey Man 2024 CAMRip English,https://vegamovies.vg/34965-monkey-man-2024-camrip-english.html
132,"Dune: Part Two WEB-DL Multi Audio (Hindi, Tamil, Telugu, English)",https://vegamovies.vg/34962-dune-part-two-web-dl-multi-audio-hindi-tamil-telugu-english.html
133,The Antisocial Network Memes to Mayhem 2024 Hindi Dual Audio HDRip 1080p – 720p – 480p,https://vegamovies.vg/35049-the-antisocial-network-memes-to-mayhem-2024-hindi-dual-audio-hdrip-1080p-720p-480p.html
134,Scoop 2024 Hindi Dual Audio HDRip 1080p – 720p – 480p,https://vegamovies.vg/35043-scoop-2024-hindi-dual-audio-hdrip-1080p-720p-480p.html
135,Don’t Worry Darling 2022 Hindi Dual Audio HDRip 1080p – 720p – 480p,https://vegamovies.vg/35025-dont-worry-darling-2022-hindi-dual-audio-hdrip-1080p-720p-480p.html
136,IRaH 2024 - Hindi CAM 1080p,https://vegamovies.vg/34959-irah-2024-hindi-cam-1080p.html
137,Chal Bhajj Chaliye 2024 Punjabi Pre-DVDRip 720p – 480p,https://vegamovies.vg/34986-chal-bhajj-chaliye-2024-punjabi-pre-dvdrip-720p-480p.html
138,Farrey 2023 Hindi HDRip 720p – 480p – 1080p,https://vegamovies.vg/34956-farrey-2023-hindi-hdrip-720p-480p-1080p.html
139,Mulan Legend (2020) Hindi HDRip 720p – 480p – 1080p,https://vegamovies.vg/34953-mulan-legend-2020-hindi-hdrip-720p-480p-1080p.html
140,The Tearsmith (2024) Hindi Dual Audio HDRip 1080p – 720p – 480p,https://vegamovies.vg/34950-the-tearsmith-2024-hindi-dual-audio-hdrip-1080p-720p-480p.html
141,Música (2024) Hindi Dual Audio HDRip 1080p – 720p – 480p,https://vegamovies.vg/34947-musica-2024-hindi-dual-audio-hdrip-1080p-720p-480p.html
142,Elvis (2022) Hindi Dual Audio HDRip 720p – 480p,https://vegamovies.vg/34941-elvis-2022-hindi-dual-audio-hdrip-720p-480p.html
143,The Bricklayer (2023) Hindi Dual Audio HDRip 1080p – 720p – 480p,https://vegamovies.vg/34938-the-bricklayer-2023-hindi-dual-audio-hdrip-1080p-720p-480p.html
144,A Writer’s Odyssey (2021) Hindi Dual Audio HDRip 1080p – 720p – 480p,https://vegamovies.vg/34944-a-writers-odyssey-2021-hindi-dual-audio-hdrip-1080p-720p-480p.html
145,Along with the Gods: The Two Worlds (2017) Hindi Dual Audio HDRip 1080p – 720p – 480p,https://vegamovies.vg/34935-along-with-the-gods-the-two-worlds-2017-hindi-dual-audio-hdrip-1080p-720p-480p.html
146,Kung Fu Master Su: Red Lotus Worm (2022) Hindi Dual Audio HDRip 1080p – 720p – 480p,https://vegamovies.vg/34929-kung-fu-master-su-red-lotus-worm-2022-hindi-dual-audio-hdrip-1080p-720p-480p.html
147,After the Wedding (2019) Hindi Dual Audio HDRip 1080p – 720p – 480p,https://vegamovies.vg/34932-after-the-wedding-2019-hindi-dual-audio-hdrip-1080p-720p-480p.html
148,Heart of the Hunter 2024 Hindi Dual Audio HDRip 1080p – 720p – 480p,https://vegamovies.vg/34926-heart-of-the-hunter-2024-hindi-dual-audio-hdrip-1080p-720p-480p.html
149,Teri Baaton Mein Aisa Uljha Jiya 2024 Hindi (ORG) HDRip 720p – 480p,https://vegamovies.vg/34923-teri-baaton-mein-aisa-uljha-jiya-2024-hindi-cleaned-hdts-720p-480p.html
